Niveau,Spécialité,Section,Jours,Créneaux,Module,Type,Groupe,Salle,Bloc,Prof
M1,SII,A,Lundi,09:40-11:10,ABD,TP,3,TP128,Fac Info,GUESSOUM
M1,SII,A,Lundi,09:40-11:10,Compil,TP,4,TP127,Fac Info,
M1,SII,A,Lundi,11:20-12:50,Compil,TP,3,C3A,Nouveau Bloc,
M1,SII,A,Lundi,11:20-12:50,ABD,TP,4,TP127,Fac Info,GUESSOUM
M1,SII,A,Lundi,11:20-12:50,SE,TP,2,TP129,Fac Info,LARBI
M1,SII,A,Lundi,13:00-14:30,ALGC,TP,1,TP131,Fac Info,MOULAI
M1,SII,A,Lundi,13:00-14:30,Compil,TP,2,TP129,Fac Info,
M1,SII,A,Lundi,14:40-16:10,ALGC,TP,3,TP129,Fac Info,MOULAI
M1,SII,A,Lundi,14:40-16:10,SE,TP,4,TP127,Fac Info,LARBI
M1,SII,A,Mardi,08:00-09:30,SE,Cours,0,167,100,ZEBBANE
M1,SII,A,Mardi,09:40-11:10,ANG,TD,1,,LABO LANG,ZENOUN
M1,SII,A,Mardi,09:40-11:10,ALGC,TD,2,451,400,DRIAS
M1,SII,A,Mardi,09:40-11:10,SE,TD,3,439,400,ZEBBANE
M1,SII,A,Mardi,11:20-12:50,SE,TD,1,154,100,ZEBBANE
M1,SII,A,Mardi,11:20-12:50,ANG,TD,2,,LABO LANG,ZENOUN
M1,SII,A,Mardi,11:20-12:50,Compil,TD,3,310,300,ALIOUANE
M1,SII,A,Mardi,13:00-14:30,ALGC,TD,1,R5,Nouveau Bloc,DRIAS
M1,SII,A,Mardi,13:00-14:30,ANG,TD,3,,LABO LANG,ZENOUN
M1,SII,A,Mardi,14:40-16:10,ALGC,TD,3,TP C1,Nouveau Bloc,DRIAS
M1,SII,A,Mercredi,08:00-09:30,Compil,TD,2,TP C7,Nouveau Bloc,ALIOUANE
M1,SII,A,Mercredi,09:40-11:10,ALGC,Cours,0,C1,Nouveau Bloc,DRIAS
M1,SII,A,Mercredi,11:20-12:50,Compil,Cours,0,C1,Nouveau Bloc,ALIOUANE
M1,SII,A,Mercredi,13:00-14:30,Compil,TD,1,C3B,Nouveau Bloc,ALIOUANE
M1,SII,A,Mercredi,13:00-14:30,SE,TD,2,307,300,ZEBBANE
M1,SII,A,Jeudi,08:00-09:30,ABD,TP,1,TP C8,Nouveau Bloc,AZZOUZ
M1,SII,A,Jeudi,09:40-11:10,ABD,Cours,0,K,Amphi,AZZOUZ
M1,SII,A,Jeudi,11:20-12:50,RP,TD,1,404,400,AZZOUNE
M1,SII,A,Jeudi,11:20-12:50,MEPS,TD,2,243,200,AMROUS
M2,SII,A,Dimanche,08:00-09:30,DMIN,TP,2,TP130,Fac Info,HOUACINE
M2,SII,A,Dimanche,08:00-09:30,PC,TD,3,407,400,ISLI
M2,SII,A,Dimanche,09:40-11:10,RI,Cours,0,R8,Nouveau Bloc,KECHID
M2,SII,A,Dimanche,11:20-12:50,DMIN,TP,1,C3A,Nouveau Bloc,HOUACINE
M2,SII,A,Dimanche,11:20-12:50,RCR 2,TD,3,TP C6,Nouveau Bloc,MOULAI
M2,SII,A,Dimanche,13:00-14:30,PR,TP,1,C3A,Nouveau Bloc,ISLI
M2,SII,A,Dimanche,13:00-14:30,RCR 2,TD,2,C3B,Nouveau Bloc,MOULAI
